60	506
31	46	30
31	48	15
31	50	60
31	52	60
31	54	30
31	56	60
31	58	30
32	33	30
33	12	15
33	20	20
33	22	60
33	24	30
33	26	30
33	28	15
33	30	60
33	33	90
33	34	20
33	36	60
33	38	15
33	40	60
33	42	60
33	44	60
33	46	15
33	48	60
33	50	30
33	52	60
33	54	60
33	56	30
33	58	15
34	35	15
35	12	30
35	20	60
35	22	15
35	24	15
35	26	60
35	28	30
35	30	15
35	32	20
35	35	45
35	36	20
35	38	20
35	40	15
35	42	60
35	44	30
35	46	30
35	48	20
35	50	60
35	52	20
35	54	15
35	56	30
35	58	60
36	37	30
37	12	20
37	20	30
37	22	60
37	24	15
37	26	15
37	28	20
37	30	20
37	32	30
37	34	15
37	37	60
37	38	15
37	40	30
37	42	60
37	44	60
37	46	15
37	48	30
37	50	15
37	52	20
37	54	15
37	56	60
37	58	20
38	39	30
39	12	30
39	20	20
39	22	30
39	24	60
39	26	20
39	28	15
39	30	60
39	32	60
39	34	15
39	36	20
39	39	60
39	40	15
39	42	15
39	44	15
39	46	60
39	48	20
39	50	30
39	52	20
39	54	60
39	56	15
39	58	30
40	41	15
41	12	30
41	20	60
41	22	20
41	24	60
41	26	60
41	28	60
41	30	30
41	32	15
41	34	15
41	36	60
41	38	60
41	41	90
41	42	15
41	44	30
41	46	60
41	48	20
41	50	60
41	52	20
41	54	20
41	56	15
41	58	60
42	43	30
43	12	60
43	20	15
43	22	15
43	24	30
43	26	30
43	28	60
43	30	60
43	32	20
43	34	15
43	36	60
43	38	60
43	40	15
43	43	60
43	44	30
43	46	30
43	48	15
43	50	30
43	52	60
43	54	20
43	56	60
43	58	30
44	45	10
45	12	15
45	20	30
45	22	15
45	24	30
45	26	60
45	28	30
45	30	60
45	32	30
45	34	30
45	36	15
45	38	20
45	40	30
45	42	30
45	45	45
45	46	30
45	48	20
45	50	30
45	52	60
45	54	15
45	56	20
45	58	15
46	47	10
47	12	20
47	20	30
47	22	20
47	24	60
47	26	15
47	28	15
47	30	30
47	32	15
47	34	60
47	36	30
47	38	15
47	40	30
47	42	15
47	44	15
47	47	90
47	48	15
47	50	60
47	52	15
47	54	20
47	56	15
47	58	20
48	49	15
49	12	20
49	20	20
49	22	15
49	24	15
49	26	20
49	28	30
49	30	20
49	32	20
49	34	20
49	36	60
49	38	30
49	40	20
49	42	15
49	44	15
49	46	20
49	49	90
49	50	60
49	52	15
49	54	20
49	56	60
49	58	20
50	51	30
51	12	60
51	20	20
51	22	15
51	24	15
51	26	30
51	28	20
51	30	60
51	32	20
51	34	60
51	36	60
51	38	30
51	40	30
51	42	20
51	44	20
51	46	60
51	48	60
51	51	60
51	52	20
51	54	15
51	56	60
51	58	60
52	53	10
53	12	15
53	20	60
53	22	15
53	24	15
53	26	20
53	28	15
53	30	30
53	32	20
53	34	60
53	36	15
53	38	30
53	40	15
53	42	60
53	44	20
53	46	60
53	48	20
53	50	15
53	53	45
53	54	60
53	56	20
53	58	20
54	55	10
55	12	20
55	20	15
55	22	60
55	24	20
55	26	30
55	28	60
55	30	60
55	32	30
55	34	20
55	36	20
55	38	15
55	40	20
55	42	15
55	44	15
55	46	30
55	48	15
55	50	60
55	52	15
55	55	60
55	56	20
55	58	15
56	57	15
57	12	15
57	20	60
57	22	60
57	24	30
57	26	20
57	28	15
57	30	60
57	32	30
57	34	60
57	36	30
57	38	60
57	40	20
57	42	30
57	44	15
57	46	60
57	48	20
57	50	60
57	52	20
57	54	60
57	57	45
57	58	15
58	59	10
59	12	60
59	20	20
59	22	15
59	24	15
59	26	15
59	28	30
59	30	30
59	32	15
59	34	30
59	36	15
59	38	15
59	40	60
59	42	15
59	44	30
59	46	60
59	48	20
59	50	30
59	52	15
59	54	60
59	56	30
59	59	180
